Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Trustworthiness,Child_Safety,Privacy,Traffic_Rank,Location,Hosted_by,Registrar,subnetwork_count,Status
01net,664150.0,1799848.0,31,2,6370,1030,0,16,0.05472,0.05232,0.003571,0.003331,2.496,5,5,5,1467,France,PrivateCloud id -6,SAFEBRANDS SAS,3,Safe
037hd,253788.0,1251177.0,3,57,16300,36,0,33,0.01536,0.020256,0.00193,0.002189,5.376,0,0,0,3942,United States,"CloudFlare, Inc.","GODADDY.COM, LLC",2,Risky
1012,2116.0,6561.0,0,0,21,24,0,3,0.000189,0.00018,1.7e-05,1.2e-05,2.835,4,5,4,252568,New Caledonia,Office des Postes et Telecommunications,Unknown,1,Risky
104,335521.0,1902403.0,3,18,768,6,0,1,0.02016,0.026112,0.002592,0.003504,4.896,5,5,5,588,Taiwan,Taipei Taiwan,TWNIC,1,Safe
1111,141875.0,717888.0,3,8,416,1,0,1,0.006912,0.011616,0.000941,0.001315,5.088,5,5,5,1587,Taiwan,1111 Job Bank,TWNIC,1,Safe
11st,823673.0,5230329.0,4,133,253,9,0,19,0.05472,0.063072,0.009187,0.010176,6.24,5,5,5,1048,"Korea, Republic of",SK Telecom,"Gabia, Inc.",1,Safe
11street,148392.0,922999.0,1,147,1540,1,0,14,0.0144,0.012096,0.001805,0.001738,5.472,4,0,4,6507,United States,"Akamai Technologies, Inc.",MYNIC,1,Safe
123coquin,2294.0,2523.0,1,2,3175,114,0,17,8.5e-05,0.000293,2e-06,9e-06,0.945,3,0,3,235022,Netherlands,TwoTown Belgique Sarl,"GODADDY.COM, LLC",1,Safe
123moviesfree,927086.0,2558758.0,5520,57,209,224,0,6,0.076512,0.075552,0.005107,0.005112,2.688,0,5,0,1062,United States,"Vultr Holdings, LLC","ENOM, INC.",2,Safe
1337x,1549015.0,11896433.0,1,227,462,63,0,56,0.14688,0.12288,0.029472,0.02183,7.7472,5,4,5,526,United States,"CloudFlare, Inc.",Unknown,2,Risky
1411,9245.0,14793.0,2,171,1,1,0,131,0.00085,0.000774,2.3e-05,3.2e-05,0.955,4,5,4,30773,United States,Ivan Amador,Unknown,1,Risky
15min,173149.0,505598.0,2,14,862,127,0,34,0.01248,0.015456,0.000864,0.001142,2.688,5,5,5,4444,Lithuania,Plius UAB servers,"Telia Lietuva, AB",3,Safe
163,3677645.0,12614322.0,33,54,1090,1850,1,15,0.1344,0.27648,0.01056,0.024288,2.976,4,4,4,309,China,ChinaNetCenter Ltd.,MARKMONITOR INC.,1,Safe
1688,3228372.0,27279754.0,1,15,194,20,0,1,0.192,0.24192,0.038592,0.046858,7.68,4,5,4,238,United States,Alibaba (China) limited company,MARKMONITOR INC.,1,Safe
