Website,Trustworthiness,Avg_Daily_Visitors,Child_Safety,Avg_Daily_Pageviews,Privacy,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Traffic_Rank,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Location,Hosted_by,Registrar,subnetwork_count,Status
google.com.af,Excellent,4565990.5,Excellent,13283496.0,Excellent,9,1,37,7,0,7,954,0.071616,0.067968,0.009888,0.009154,5.376,United States,Google Inc.,Unknown,1,Risky
google.com,Excellent,515007350.0,Excellent,4192159833.0,Excellent,94200,11200,11700000,1670,10800,246000,1,41.52366910994765,41.07112209424084,8.012828481675392,7.753054492146597,8.07380104712042,United States,Google Inc.,MARKMONITOR INC.,1,Safe
youtube.com,Excellent,506457282.0,Excellent,2679159025.0,Excellent,13500,16500,19300000,60000,47,329000,2,42.6048,40.56768,5.93472,5.045568,5.2416,United States,Google Inc.,MARKMONITOR INC.,1,Safe
facebook.com,Excellent,270071255.0,Good,1082985733.0,Excellent,5870000,64400,127000,6230,4150,23100,3,21.4368,21.5136,2.04672,2.01696,3.5904,Ireland,Facebook,MARKMONITOR INC.,1,Safe
yahoo.com,Excellent,99572035.0,Excellent,383352336.0,Excellent,17200,1110,798000,7500,433,68900,6,7.6992,7.924800000000001,0.7320960000000001,0.70391,3.5808,United States,Yahoo! Inc.,MARKMONITOR INC.,2,Safe
acbar.org,Unknown,100388.0,Unknown,712760.0,Unknown,3,12,12,146,0,8,8011,0.01056,0.009274,0.00192,0.00167,7.008,United States,"ARYAN ICT Solutions, LLC",Public Interest Registry,1,Risky
bbc.com,Excellent,9282040.0,Excellent,24690228.0,Excellent,9,9370,7200,1120,16,136,104,0.7485866666666667,0.756672,0.047136,0.0475734444444444,2.638933333333333,United States,Fastly,TUCOWS DOMAINS INC.,1,Safe
wikipedia.org,Excellent,118921355.0,Excellent,397197324.0,Excellent,476,162,126000,1240,5,5,5,8.8128,9.55488,0.78288,0.760608,3.3408,United States,Wikimedia Foundation Inc.,Public Interest Registry,1,Safe
jobs.af,Unknown,54630.0,Unknown,169355.0,Unknown,3,192,244,149,0,1,17003,0.00659,0.005415,0.000554,0.00041,3.3425,United States,"SingleHop, Inc.",Unknown,1,Risky
live.com,Excellent,56576433.0,Excellent,186702228.0,Excellent,3,968,23100,80900,0,3650,15,3.9456,4.47456,0.320448,0.3456,3.0624,United States,Microsoft Corporation,"CSC CORPORATE DOMAINS, INC.",1,Safe
espncricinfo.com,Excellent,2708739.0,Excellent,9588936.0,Excellent,225,565,1390000,1240,2,9820,323,0.24192,0.218976,0.020448,0.017885,3.5520000000000005,United States,"NTT America, Inc.","CSC CORPORATE DOMAINS, INC.",2,Safe
blogfa.com,Good,1660422.0,Good,3486885.0,Good,8,740,77,12,0,3,560,0.12864,0.14208,0.006269,0.007181,1.8432,United States,"CloudFlare, Inc.",TUCOWS DOMAINS INC.,2,Safe
azadiradio.com,Excellent,42395.0,Unknown,190779.0,Excellent,3,2,3,147,0,117,27256,0.003629,0.003199,0.000344,0.000333,4.011,United States,"Akamai Technologies, Inc.","NETWORK SOLUTIONS, LLC.",1,Safe
msn.com,Excellent,22403678.0,Excellent,71019660.0,Excellent,47200,679,98500,247,60,14600,39,1.6128,1.77696,0.1296,0.13104,3.0144,United States,Microsoft Corporation,MARKMONITOR INC.,1,Safe
varzesh3.com,Excellent,2364472.0,Excellent,14896181.0,Excellent,12,192,16800,12,0,1,173,0.18528,0.20352,0.027072,0.031709,6.2496,"Iran, Islamic Republic of",Aria Shatel Company Ltd,"GODADDY.COM, LLC",2,Safe
ask.com,Excellent,8592595.0,Excellent,21567415.0,Excellent,783,146000,62500,270,1,9480,112,0.68832,0.680256,0.043968,0.040397,2.4,United States,"Akamai Technologies, Inc.",MARKMONITOR INC.,2,Safe
myway.com,Unsatisfactory,3850265.0,Unsatisfactory,11127268.0,Unsatisfactory,3,192,816,17,0,1960,225,0.31008,0.312384,0.022752,0.02137,2.7648,United States,"Mindspark Interactive Network, Inc.",MARKMONITOR INC.,1,Safe
booksecure.net,Good,75222.0,Excellent,503985.0,Good,3,16,3920,147,0,117,11228,0.006017,0.006188,0.001051,0.000955,6.685,Unknown,Unknown,"NETWORK SOLUTIONS, LLC.",1,Risky
savefrom.net,Excellent,11707659.0,Excellent,13229654.0,Excellent,51,8,6880,98,0,6,118,1.0656,0.920928,0.030816,0.024451,1.0848,United Kingdom,UK-2 Limited,"GODADDY.COM, LLC",1,Safe
onclkds.com,Unsatisfactory,25646796.0,Unknown,49754784.0,Unsatisfactory,3,192,10,2,0,117,44,2.3616,2.2176,0.1152,0.10176,1.8432,Netherlands,Webzilla B.V.,URL SOLUTIONS INC.,1,Safe
instagram.com,Excellent,47854006.0,Excellent,156961142.0,Excellent,362,3310000,1390000,21300,36,392,17,3.8208,3.83808,0.28992,0.308544,3.2448,United States,"Facebook, Inc.",REGISTRARSEC LLC,1,Safe
flyariana.com,Good,23287.0,Excellent,107122.0,Good,3,192,2,5,0,144,35704,0.001624,0.00191,0.000162,0.000214,4.202,United States,Zapways,"REGISTER.COM, INC.",1,Safe
linkedin.com,Excellent,31156540.0,Excellent,135219383.0,Excellent,203,284,315000,236000,12,6820,24,1.632,2.43456,0.1392,0.2428799999999999,3.2064,United States,LinkedIn Corporation,MARKMONITOR INC.,1,Safe
twitter.com,Excellent,64764259.0,Excellent,206597988.0,Excellent,300,13300000,67700,1950,643,25700,12,4.8768,5.15712,0.3792,0.384768,2.928,United States,Twitter Inc.,"CSC CORPORATE DOMAINS, INC.",4,Safe
blogspot.com,Excellent,20898095.0,Excellent,44303962.0,Excellent,456,1400,1840000,1030,0,99,52,1.6691478260869566,1.6777878260869563,0.0814789565217391,0.0836162173913043,2.040208695652174,United States,Google Inc.,MARKMONITOR INC.,1,Safe
state.gov,Excellent,895296.0,Excellent,5004707.0,Excellent,699,1670,526000,972,1,28900,968,0.07296,0.1152,0.013344,0.018384,6.912,United States,"Akamai Technologies, Inc.",Unknown,1,Risky
zapmeta.ws,Unknown,914814.0,Unknown,1948553.0,Unknown,3,192,1,147,0,117,1464,0.07872,0.071424,0.003648,0.003475,1.92,United Kingdom,Everbread Limited IP Space,Samoa Nic,1,Risky
